 INFO 23:50:42,961 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Bombe Paralysante breed : 3797 [-1724034217589035] isControlledByAI=true obstacleId : 7 join the fight at {Point3 : (-28, -25, 0)}
 INFO 23:50:42,967 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Paralysante: Bombe paralysante (Niv. 4)
 INFO 23:50:44,269 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -901 PV (Terre)
 INFO 23:50:44,270 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Paralysante: Retour de dague (+1 Niv.)
 INFO 23:50:44,271 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: Retour de dague (+1 Niv.)
 INFO 23:50:44,272 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Paralysante: Bombe paralysante (Niv. 6)
 INFO 23:50:44,273 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PM (Trainée de poudre)
 INFO 23:50:45,975 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Pulsar
 INFO 23:50:47,184 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Pulsar (+1 Niv.)
 INFO 23:50:47,185 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Ruse
 INFO 23:50:48,187 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: n'est plus sous l'emprise de 'Fourbe'
 INFO 23:50:48,189 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Fuyard (+1 Niv.)
 INFO 23:50:48,191 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Tir surprise (Niv. 58)
 INFO 23:50:49,897 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Dague boomerang
 INFO 23:50:51,404 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -502 PV (Terre)
 INFO 23:50:51,406 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -502 PV (Lumière) (Terre) (Tir surprise)
